Entity,Code,Year,World regions according to UN
Afghanistan,AFG,2023,Asia (UN)
Aland Islands,ALA,2023,Europe (UN)
Albania,ALB,2023,Europe (UN)
Algeria,DZA,2023,Africa (UN)
American Samoa,ASM,2023,Oceania (UN)
Andorra,AND,2023,Europe (UN)
Angola,AGO,2023,Africa (UN)
Anguilla,AIA,2023,Latin America and the Caribbean (UN)
Antigua and Barbuda,ATG,2023,Latin America and the Caribbean (UN)
Argentina,ARG,2023,Latin America and the Caribbean (UN)
Armenia,ARM,2023,Asia (UN)
Aruba,ABW,2023,Latin America and the Caribbean (UN)
Australia,AUS,2023,Oceania (UN)
Austria,AUT,2023,Europe (UN)
Azerbaijan,AZE,2023,Asia (UN)
Bahamas,BHS,2023,Latin America and the Caribbean (UN)
Bahrain,BHR,2023,Asia (UN)
Bangladesh,BGD,2023,Asia (UN)
Barbados,BRB,2023,Latin America and the Caribbean (UN)
Belarus,BLR,2023,Europe (UN)
Belgium,BEL,2023,Europe (UN)
Belize,BLZ,2023,Latin America and the Caribbean (UN)
Benin,BEN,2023,Africa (UN)
Bermuda,BMU,2023,Northern America (UN)
Bhutan,BTN,2023,Asia (UN)
Bolivia,BOL,2023,Latin America and the Caribbean (UN)
Bonaire Sint Eustatius and Saba,BES,2023,Latin America and the Caribbean (UN)
Bosnia and Herzegovina,BIH,2023,Europe (UN)
Botswana,BWA,2023,Africa (UN)
Bouvet Island,BVT,2023,Latin America and the Caribbean (UN)
Brazil,BRA,2023,Latin America and the Caribbean (UN)
British Indian Ocean Territory,IOT,2023,Africa (UN)
British Virgin Islands,VGB,2023,Latin America and the Caribbean (UN)
Brunei,BRN,2023,Asia (UN)
Bulgaria,BGR,2023,Europe (UN)
Burkina Faso,BFA,2023,Africa (UN)
Burundi,BDI,2023,Africa (UN)
Cambodia,KHM,2023,Asia (UN)
Cameroon,CMR,2023,Africa (UN)
Canada,CAN,2023,Northern America (UN)
Cape Verde,CPV,2023,Africa (UN)
Cayman Islands,CYM,2023,Latin America and the Caribbean (UN)
Central African Republic,CAF,2023,Africa (UN)
Chad,TCD,2023,Africa (UN)
Chile,CHL,2023,Latin America and the Caribbean (UN)
China,CHN,2023,Asia (UN)
Christmas Island,CXR,2023,Oceania (UN)
Cocos Islands,CCK,2023,Oceania (UN)
Colombia,COL,2023,Latin America and the Caribbean (UN)
Comoros,COM,2023,Africa (UN)
Congo,COG,2023,Africa (UN)
Cook Islands,COK,2023,Oceania (UN)
Costa Rica,CRI,2023,Latin America and the Caribbean (UN)
Cote d'Ivoire,CIV,2023,Africa (UN)
Croatia,HRV,2023,Europe (UN)
Cuba,CUB,2023,Latin America and the Caribbean (UN)
Curacao,CUW,2023,Latin America and the Caribbean (UN)
Cyprus,CYP,2023,Asia (UN)
Czechia,CZE,2023,Europe (UN)
Democratic Republic of Congo,COD,2023,Africa (UN)
Denmark,DNK,2023,Europe (UN)
Djibouti,DJI,2023,Africa (UN)
Dominica,DMA,2023,Latin America and the Caribbean (UN)
Dominican Republic,DOM,2023,Latin America and the Caribbean (UN)
East Timor,TLS,2023,Asia (UN)
Ecuador,ECU,2023,Latin America and the Caribbean (UN)
Egypt,EGY,2023,Africa (UN)
El Salvador,SLV,2023,Latin America and the Caribbean (UN)
Equatorial Guinea,GNQ,2023,Africa (UN)
Eritrea,ERI,2023,Africa (UN)
Estonia,EST,2023,Europe (UN)
Eswatini,SWZ,2023,Africa (UN)
Ethiopia,ETH,2023,Africa (UN)
Falkland Islands,FLK,2023,Latin America and the Caribbean (UN)
Faroe Islands,FRO,2023,Europe (UN)
Fiji,FJI,2023,Oceania (UN)
Finland,FIN,2023,Europe (UN)
France,FRA,2023,Europe (UN)
French Guiana,GUF,2023,Latin America and the Caribbean (UN)
French Polynesia,PYF,2023,Oceania (UN)
French Southern Territories,ATF,2023,Africa (UN)
Gabon,GAB,2023,Africa (UN)
Gambia,GMB,2023,Africa (UN)
Georgia,GEO,2023,Asia (UN)
Germany,DEU,2023,Europe (UN)
Ghana,GHA,2023,Africa (UN)
Gibraltar,GIB,2023,Europe (UN)
Greece,GRC,2023,Europe (UN)
Greenland,GRL,2023,Northern America (UN)
Grenada,GRD,2023,Latin America and the Caribbean (UN)
Guadeloupe,GLP,2023,Latin America and the Caribbean (UN)
Guam,GUM,2023,Oceania (UN)
Guatemala,GTM,2023,Latin America and the Caribbean (UN)
Guernsey,GGY,2023,Europe (UN)
Guinea,GIN,2023,Africa (UN)
Guinea-Bissau,GNB,2023,Africa (UN)
Guyana,GUY,2023,Latin America and the Caribbean (UN)
Haiti,HTI,2023,Latin America and the Caribbean (UN)
Heard Island and McDonald Islands,HMD,2023,Oceania (UN)
Honduras,HND,2023,Latin America and the Caribbean (UN)
Hong Kong,HKG,2023,Asia (UN)
Hungary,HUN,2023,Europe (UN)
Iceland,ISL,2023,Europe (UN)
India,IND,2023,Asia (UN)
Indonesia,IDN,2023,Asia (UN)
Iran,IRN,2023,Asia (UN)
Iraq,IRQ,2023,Asia (UN)
Ireland,IRL,2023,Europe (UN)
Isle of Man,IMN,2023,Europe (UN)
Israel,ISR,2023,Asia (UN)
Italy,ITA,2023,Europe (UN)
Jamaica,JAM,2023,Latin America and the Caribbean (UN)
Japan,JPN,2023,Asia (UN)
Jersey,JEY,2023,Europe (UN)
Jordan,JOR,2023,Asia (UN)
Kazakhstan,KAZ,2023,Asia (UN)
Kenya,KEN,2023,Africa (UN)
Kiribati,KIR,2023,Oceania (UN)
Kuwait,KWT,2023,Asia (UN)
Kyrgyzstan,KGZ,2023,Asia (UN)
Laos,LAO,2023,Asia (UN)
Latvia,LVA,2023,Europe (UN)
Lebanon,LBN,2023,Asia (UN)
Lesotho,LSO,2023,Africa (UN)
Liberia,LBR,2023,Africa (UN)
Libya,LBY,2023,Africa (UN)
Liechtenstein,LIE,2023,Europe (UN)
Lithuania,LTU,2023,Europe (UN)
Luxembourg,LUX,2023,Europe (UN)
Macao,MAC,2023,Asia (UN)
Madagascar,MDG,2023,Africa (UN)
Malawi,MWI,2023,Africa (UN)
Malaysia,MYS,2023,Asia (UN)
Maldives,MDV,2023,Asia (UN)
Mali,MLI,2023,Africa (UN)
Malta,MLT,2023,Europe (UN)
Marshall Islands,MHL,2023,Oceania (UN)
Martinique,MTQ,2023,Latin America and the Caribbean (UN)
Mauritania,MRT,2023,Africa (UN)
Mauritius,MUS,2023,Africa (UN)
Mayotte,MYT,2023,Africa (UN)
Mexico,MEX,2023,Latin America and the Caribbean (UN)
Micronesia (country),FSM,2023,Oceania (UN)
Moldova,MDA,2023,Europe (UN)
Monaco,MCO,2023,Europe (UN)
Mongolia,MNG,2023,Asia (UN)
Montenegro,MNE,2023,Europe (UN)
Montserrat,MSR,2023,Latin America and the Caribbean (UN)
Morocco,MAR,2023,Africa (UN)
Mozambique,MOZ,2023,Africa (UN)
Myanmar,MMR,2023,Asia (UN)
Namibia,NAM,2023,Africa (UN)
Nauru,NRU,2023,Oceania (UN)
Nepal,NPL,2023,Asia (UN)
Netherlands,NLD,2023,Europe (UN)
New Caledonia,NCL,2023,Oceania (UN)
New Zealand,NZL,2023,Oceania (UN)
Nicaragua,NIC,2023,Latin America and the Caribbean (UN)
Niger,NER,2023,Africa (UN)
Nigeria,NGA,2023,Africa (UN)
Niue,NIU,2023,Oceania (UN)
Norfolk Island,NFK,2023,Oceania (UN)
North Korea,PRK,2023,Asia (UN)
North Macedonia,MKD,2023,Europe (UN)
Northern Mariana Islands,MNP,2023,Oceania (UN)
Norway,NOR,2023,Europe (UN)
Oman,OMN,2023,Asia (UN)
Pakistan,PAK,2023,Asia (UN)
Palau,PLW,2023,Oceania (UN)
Panama,PAN,2023,Latin America and the Caribbean (UN)
Papua New Guinea,PNG,2023,Oceania (UN)
Paraguay,PRY,2023,Latin America and the Caribbean (UN)
Peru,PER,2023,Latin America and the Caribbean (UN)
Philippines,PHL,2023,Asia (UN)
Pitcairn,PCN,2023,Oceania (UN)
Poland,POL,2023,Europe (UN)
Portugal,PRT,2023,Europe (UN)
Puerto Rico,PRI,2023,Latin America and the Caribbean (UN)
Qatar,QAT,2023,Asia (UN)
Reunion,REU,2023,Africa (UN)
Romania,ROU,2023,Europe (UN)
Russia,RUS,2023,Europe (UN)
Rwanda,RWA,2023,Africa (UN)
Saint Barthelemy,BLM,2023,Latin America and the Caribbean (UN)
Saint Helena,SHN,2023,Africa (UN)
Saint Kitts and Nevis,KNA,2023,Latin America and the Caribbean (UN)
Saint Lucia,LCA,2023,Latin America and the Caribbean (UN)
Saint Martin (French part),MAF,2023,Latin America and the Caribbean (UN)
Saint Pierre and Miquelon,SPM,2023,Northern America (UN)
Saint Vincent and the Grenadines,VCT,2023,Latin America and the Caribbean (UN)
Samoa,WSM,2023,Oceania (UN)
San Marino,SMR,2023,Europe (UN)
Sao Tome and Principe,STP,2023,Africa (UN)
Saudi Arabia,SAU,2023,Asia (UN)
Senegal,SEN,2023,Africa (UN)
Serbia,SRB,2023,Europe (UN)
Seychelles,SYC,2023,Africa (UN)
Sierra Leone,SLE,2023,Africa (UN)
Singapore,SGP,2023,Asia (UN)
Sint Maarten (Dutch part),SXM,2023,Latin America and the Caribbean (UN)
Slovakia,SVK,2023,Europe (UN)
Slovenia,SVN,2023,Europe (UN)
Solomon Islands,SLB,2023,Oceania (UN)
Somalia,SOM,2023,Africa (UN)
South Africa,ZAF,2023,Africa (UN)
South Georgia and the South Sandwich Islands,SGS,2023,Latin America and the Caribbean (UN)
South Korea,KOR,2023,Asia (UN)
South Sudan,SSD,2023,Africa (UN)
Spain,ESP,2023,Europe (UN)
Sri Lanka,LKA,2023,Asia (UN)
Sudan,SDN,2023,Africa (UN)
Suriname,SUR,2023,Latin America and the Caribbean (UN)
Sweden,SWE,2023,Europe (UN)
Switzerland,CHE,2023,Europe (UN)
Syria,SYR,2023,Asia (UN)
Tajikistan,TJK,2023,Asia (UN)
Tanzania,TZA,2023,Africa (UN)
Thailand,THA,2023,Asia (UN)
Togo,TGO,2023,Africa (UN)
Tokelau,TKL,2023,Oceania (UN)
Tonga,TON,2023,Oceania (UN)
Trinidad and Tobago,TTO,2023,Latin America and the Caribbean (UN)
Tunisia,TUN,2023,Africa (UN)
Turkey,TUR,2023,Asia (UN)
Turkmenistan,TKM,2023,Asia (UN)
Turks and Caicos Islands,TCA,2023,Latin America and the Caribbean (UN)
Tuvalu,TUV,2023,Oceania (UN)
Uganda,UGA,2023,Africa (UN)
Ukraine,UKR,2023,Europe (UN)
United Arab Emirates,ARE,2023,Asia (UN)
United Kingdom,GBR,2023,Europe (UN)
United States,USA,2023,Northern America (UN)
United States Virgin Islands,VIR,2023,Latin America and the Caribbean (UN)
Uruguay,URY,2023,Latin America and the Caribbean (UN)
Uzbekistan,UZB,2023,Asia (UN)
Vanuatu,VUT,2023,Oceania (UN)
Vatican,VAT,2023,Europe (UN)
Venezuela,VEN,2023,Latin America and the Caribbean (UN)
Vietnam,VNM,2023,Asia (UN)
Wallis and Futuna,WLF,2023,Oceania (UN)
Western Sahara,ESH,2023,Africa (UN)
Yemen,YEM,2023,Asia (UN)
Zambia,ZMB,2023,Africa (UN)
Zimbabwe,ZWE,2023,Africa (UN)
