"country";"GENC";"continent";"education_expenditures";"net_migration_rate";"youth_unempl_rate";"income_class";"subcontinent"
"Afghanistan";"AFG";"Asia";4.1;-0.1;17.6;"L";"Southern Asia"
"Albania";"ALB";"Europe";3.6;-3.3;31.9;"UM";"Southern Europe"
"Algeria";"DZA";"Africa";.;-0.9;39.3;"LM";"Northern Africa"
"American Samoa";"ASM";"Oceania";.;-26.1;.;"UM";"Polynesia"
"Andorra";"AND";"Europe";3.2;0;.;"H";"Southern Europe"
"Angola";"AGO";"Africa";3.4;-0.2;39.4;"LM";"Sub-Saharan Africa"
"Anguilla";"AIA";"Latin America and the Caribbean";.;11.1;.;.;"Latin America and the Caribbean"
"Antigua and Barbuda";"ATG";"Latin America and the Caribbean";.;2.1;.;"H";"Latin America and the Caribbean"
"Argentina";"ARG";"Latin America and the Caribbean";5.5;-0.1;23.7;"UM";"Latin America and the Caribbean"
"Armenia";"ARM";"Asia";2.7;-5.5;36.3;"UM";"Western Asia"
"Aruba";"ABW";"Latin America and the Caribbean";5.5;8.4;.;"H";"Latin America and the Caribbean"
"Australia";"AUS";"Oceania";5.1;8.1;11.8;"H";"Australia and New Zealand"
"Austria";"AUT";"Europe";5.4;3.6;9.4;"H";"Western Europe"
"Azerbaijan";"AZE";"Asia";2.5;0;13.4;"UM";"Western Asia"
"Bahamas, The";"BHS";"Latin America and the Caribbean";.;0;25.8;"H";.
"Bahrain";"BHR";"Asia";2.3;10.6;5.3;"H";"Western Asia"
"Bangladesh";"BGD";"Asia";1.3;-3;12.8;"LM";"Southern Asia"
"Barbados";"BRB";"Latin America and the Caribbean";4.4;-0.3;29.6;"H";"Latin America and the Caribbean"
"Belarus";"BLR";"Europe";4.8;0.7;10.6;"UM";"Eastern Europe"
"Belgium";"BEL";"Europe";6.4;4.8;15.8;"H";"Western Europe"
"Belize";"BLZ";"Latin America and the Caribbean";7.6;-1;15.3;"LM";"Latin America and the Caribbean"
"Benin";"BEN";"Africa";2.9;0.3;5.6;"LM";"Sub-Saharan Africa"
"Bermuda";"BMU";"Northern America";1.5;1.6;29.3;"H";"Northern America"
"Bhutan";"BTN";"Asia";6.9;0;10.7;"LM";"Southern Asia"
"Bolivia";"BOL";"Latin America and the Caribbean";7.3;-0.3;6.9;"LM";.
"Bosnia and Herzegovina";"BIH";"Europe";.;-0.4;33.8;"UM";"Southern Europe"
"Botswana";"BWA";"Africa";.;2.9;36;"UM";"Sub-Saharan Africa"
"Brazil";"BRA";"Latin America and the Caribbean";6.3;-0.1;28.5;"UM";"Latin America and the Caribbean"
"British Virgin Islands";"VGB";"Latin America and the Caribbean";2.5;15.5;.;"H";.
"Brunei";"BRN";"Asia";4.4;2.3;28.9;"H";.
"Bulgaria";"BGR";"Europe";4.1;-0.3;12.7;"UM";"Eastern Europe"
"Burkina Faso";"BFA";"Africa";5.4;-0.6;8.7;"L";"Sub-Saharan Africa"
"Burma";"MMR";"Asia";1.9;-1.4;2;"LM";.
"Burundi";"BDI";"Africa";5.1;-0.8;2.9;"L";"Sub-Saharan Africa"
"Cabo Verde";"CPV";"Africa";5.2;-0.6;27.8;"LM";"Sub-Saharan Africa"
"Cambodia";"KHM";"Asia";2.2;-0.3;1.1;"LM";"South-eastern Asia"
"Cameroon";"CMR";"Africa";3.1;-0.3;6.3;"LM";"Sub-Saharan Africa"
"Canada";"CAN";"Northern America";5.3;5.6;11.1;"H";"Northern America"
"Cayman Islands";"CYM";"Latin America and the Caribbean";.;13;13.8;"H";"Latin America and the Caribbean"
"Central African Republic";"CAF";"Africa";1.2;0;.;"L";"Sub-Saharan Africa"
"Chad";"TCD";"Africa";2.5;-0.1;.;"L";"Sub-Saharan Africa"
"Chile";"CHL";"Latin America and the Caribbean";5.4;0.3;18.1;"H";"Latin America and the Caribbean"
"China";"CHN";"Asia";.;-0.4;.;"UM";"Eastern Asia"
"Colombia";"COL";"Latin America and the Caribbean";4.5;-0.6;18.5;"UM";"Latin America and the Caribbean"
